session_id,window_idx,prompt_in_window,window_start_ms,window_end_ms,window_start_timestamp,window_end_timestamp,selection_timestamp,selection_frame,selection_sim_time,selection_speed_kmh,participantid,environment,secondary_task,functionname,emotion,modeltype,state_model,w_fcd,ambient_gain,ambient_seed,ambient_source,user_selected_loa,system_action,system_level,system_loa,system_message,system_probs,system_profile,system_fallback,system_fallback_reason,system_fcd
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,1,1,123718,143718,2026-08-07T12:07:05.618769,2026-08-07T12:07:25.618769,2026-08-07T12:07:28.130,105074,1805.528,29.84,003,city,none,Provide weather update,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,1,2,123718,143718,2026-08-07T12:07:05.618769,2026-08-07T12:07:25.618769,2026-08-07T12:07:28.691,105074,1805.528,29.84,003,city,none,Provide traffic news,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,2,1,146830,166830,2026-08-07T12:07:28.730769,2026-08-07T12:07:48.730769,2026-08-07T12:08:17.610,105475,1825.578,0.0,003,city,none,Start a phone call,,combined,xlstm,0.7,0.35,0,6260f154,1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,2,2,146830,166830,2026-08-07T12:07:28.730769,2026-08-07T12:07:48.730769,2026-08-07T12:08:17.994,105475,1825.578,0.0,003,city,none,Change song,,combined,xlstm,0.7,0.35,0,6260f154,1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,3,1,196117,216117,2026-08-07T12:08:18.017769,2026-08-07T12:08:38.017769,2026-08-07T12:08:39.873,105874,1845.528,0.0,003,city,none,Change song,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,3,2,196117,216117,2026-08-07T12:08:18.017769,2026-08-07T12:08:38.017769,2026-08-07T12:08:40.226,105874,1845.528,0.0,003,city,none,Start a phone call,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,4,1,218326,238326,2026-08-07T12:08:40.226769,2026-08-07T12:09:00.226769,2026-08-07T12:09:02.626,106274,1865.528,35.28,003,city,none,Send a text message,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,4,2,218326,238326,2026-08-07T12:08:40.226769,2026-08-07T12:09:00.226769,2026-08-07T12:09:04.098,106274,1865.528,35.28,003,city,none,Provide traffic news,,combined,xlstm,0.7,0.35,0,6260f154,0;1,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,5,1,242242,262242,2026-08-07T12:09:04.142769,2026-08-07T12:09:24.142769,2026-08-07T12:09:26.270,106675,1885.578,9.92,003,city,none,Start a phone call,,combined,xlstm,0.7,0.35,0,6260f154,2,,,,,,,,,
39acd25a-0f4e-4ec5-81e0-5bbb32a56fb5,5,2,242242,262242,2026-08-07T12:09:04.142769,2026-08-07T12:09:24.142769,2026-08-07T12:09:26.494,106675,1885.578,9.92,003,city,none,Provide traffic news,,combined,xlstm,0.7,0.35,0,6260f154,2,,,,,,,,,
